dataset,bundle_id,true_indice,true_option_char,baseline_prediction,two_stage_prediction,baseline_hit,two_stage_hit,baseline_to_two_stage,candidate_set_same,candidate_overlap_count,stage1_evidence_present,stage1_proxy_prediction,stage1_proxy_hit,stage1_to_stage2,stage1_signals_used,stage1_correct_unique_signals,stage1_wrong_unique_signals,two_stage_confidence,input_indices,baseline_candidate_indices,two_stage_candidate_indices,two_stage_reasoning,input_str,two_stage_target_str
pog,49,40631,B,B,F,1,0,success_to_fail,True,10,True,A,0,both_fail,ui_lightgcn_similarity|bi_lightgcn_similarity,,ui_lightgcn_similarity|bi_lightgcn_similarity,medium,[6605],"[47379, 40631, 16001, 23990, 2228, 5375, 38385, 11664, 35142, 2163]","[47379, 40631, 16001, 23990, 2228, 5375, 38385, 11664, 35142, 2163]","The partial outfit is a vintage-style leather beret, which is a feminine accessory. Option F (a wool pleated skirt) is a feminine clothing item that complements the elegant, vintage aesthetic of the beret. Other options are either masculine (A), less stylistically aligned (H, I), or bags (B, D, J) which are less central to the core outfit composition than a skirt.","1. MAGENA原创复古风柔软小羊皮贝雷帽优雅真皮画家女帽子秋冬新品
","A. COKEIN秋季中学生运动宽松休闲裤收口小脚九分男裤冬季束脚长裤子
; B. 红谷女包正品2019新款女手提包单肩包斜挎包拎包真皮菱格小包包
; C. 南瓜谷 2018春秋新款女装牛仔裤子女水洗纯棉宽松长裤子K346
; D. 2017新款个性女包大象小鸟动物造型包包亚克力包链条斜跨单肩小包
; E. QUEENZZ韩范chic早秋上衣慵懒v领白衬衫女长袖衬衣2018新款喇叭袖
; F. 奥芝国 垂顺70美丽诺羊毛 BAI搭两色针织百褶高腰A字中长款半裙秋
; G. 萌大志｜松紧腰磨毛西装裤女 秋冬显瘦九分直筒裤 加厚法兰绒女裤
; H. 2017无钢圈带胸垫无袖小吊带背心女莫代尔文胸式性感睡衣打底衫
; I. chic纯皮小白鞋女2019春季新款春款韩版度假风单鞋头层牛皮平底鞋
; J. MYTASTE圆环迷你链条风琴包牛皮质感百搭女包宽肩带单肩包斜挎包
"
pog,49,46432,B,B,B,1,1,both_success,True,10,True,A,0,fail_to_success,embedding_similarity|ui_lightgcn_similarity|bi_lightgcn_similarity,,embedding_similarity|ui_lightgcn_similarity|bi_lightgcn_similarity,medium,[6605],"[47379, 46432, 16001, 23990, 2228, 5375, 38385, 11664, 35142, 2163]","[47379, 46432, 16001, 23990, 2228, 5375, 38385, 11664, 35142, 2163]","The partial outfit is a vintage-style leather beret, which is a classic accessory for a feminine, elegant, or retro-inspired look. Option B (a vintage-style wool coat) is the most stylistically compatible item, as berets are frequently paired with wool coats in autumn/winter fashion. Other options like sports pants, jeans, or casual shirts are less cohesive with the specific 'elegant leather beret' aesthetic.","1. MAGENA原创复古风柔软小羊皮贝雷帽优雅真皮画家女帽子秋冬新品
","A. COKEIN秋季中学生运动宽松休闲裤收口小脚九分男裤冬季束脚长裤子
; B. 复古收腰拼色呢子大衣加厚中长款羊毛呢外套20199冬装新款女装
; C. 南瓜谷 2018春秋新款女装牛仔裤子女水洗纯棉宽松长裤子K346
; D. 2017新款个性女包大象小鸟动物造型包包亚克力包链条斜跨单肩小包
; E. QUEENZZ韩范chic早秋上衣慵懒v领白衬衫女长袖衬衣2018新款喇叭袖
; F. 奥芝国 垂顺70美丽诺羊毛 BAI搭两色针织百褶高腰A字中长款半裙秋
; G. 萌大志｜松紧腰磨毛西装裤女 秋冬显瘦九分直筒裤 加厚法兰绒女裤
; H. 2017无钢圈带胸垫无袖小吊带背心女莫代尔文胸式性感睡衣打底衫
; I. chic纯皮小白鞋女2019春季新款春款韩版度假风单鞋头层牛皮平底鞋
; J. MYTASTE圆环迷你链条风琴包牛皮质感百搭女包宽肩带单肩包斜挎包
"
pog,118,12263,E,E,E,1,1,both_success,False,5,True,E,1,both_success,bi_signal|ui_signal|ui_lightgcn_similarity|bi_lightgcn_similarity,bi_signal|ui_signal|ui_lightgcn_similarity|bi_lightgcn_similarity,,high,"[24617, 47428]","[2108, 38856, 1328, 21765, 12263, 27644, 10547, 20341, 39258, 21803]","[2108, 38855, 1328, 21765, 12263, 27644, 10548, 20340, 39257, 21802]","Candidate E is the only option with positive BI and UI co-occurrence signals (bi_signal: 1, ui_signal: 1). Stylistically, a knit sweater (E) is a natural complement to white jeans and casual sneakers, completing a cohesive spring outfit.","1. 2018春季新款韩版高腰毛边白色牛仔裤女喇叭裤九分裤微喇休闲裤子
; 2. D与格 星星小脏鞋秋季女2018新款韩版休闲运动鞋深口系带板鞋
","A. 三良洋货 COUDRE 英伦风复古千鸟格呢料高腰迷笛裙开叉加长半身裙
; B. chic渔夫帽女春秋天黑色渔夫帽日系原宿大头围潮男百搭夏季遮阳帽
; C. 【西木汀】小众设计链条小包包女2019新款休闲斜挎小包单肩小方包
; D. JHXC 韩版高腰麂皮绒拉链半身裙女秋冬显瘦A字裙黑色包臀裙短裙潮
; E. 2018春季新款韩版镂空亮片套头毛衣女针织衫短款圆领宽松打底小衫
; F. 连帽牛角扣大衣女冬中长款韩国ulzzang学生宽松加棉加厚毛呢外套
; G. 清仓价88元03月21日0点准时开抢！2019新款百搭长靴女瘦瘦靴
; H. 【满3件200元】sukol少女裙子两件套中长款超火学院沙滩连衣裙潮
; I. LIN ins风黑色复古小香风侧开叉半身短裙夏季港风高腰包裙女a型
; J. KIZZME2019新款 羊皮菱格流浪包大小号链条单肩斜挎多用女包
"
pog,209,8315,J,B,I,0,0,both_fail,True,10,True,I,0,both_fail,bi_lightgcn_similarity,,bi_lightgcn_similarity,medium,[45439],"[21631, 14150, 36466, 40101, 8724, 43933, 2828, 4984, 25472, 8315]","[21631, 14150, 36466, 40101, 8724, 43933, 2828, 4984, 25472, 8315]","The partial outfit is a casual, stylish winter baseball cap. Option I (earrings) has the highest BI lightgcn similarity score (0.3046), suggesting a stronger stylistic association with the accessory category than the clothing or footwear options provided.","1. 帽子女秋冬天狐狸毛球棒球帽韩版加厚仿水貂绒时尚百搭鸭舌帽潮
","A. 2017秋冬季杨幂同款鞋高跟马丁短靴女圆头粗跟靴子时尚弹力袜子靴
; B. 耳环韩国气质女个性简约雪花少女心耳坠精致网红耳饰超仙纯银耳钉
; C. 咸鱼共和国丨英伦chic小皮鞋女复古马丁靴圆头单鞋黑色学生学院风
; D. 简佰格chic链条小包包2018新款潮韩版百搭手提单肩斜挎森系少女包
; E. 2018秋冬新款韩版百搭高腰纯色中长款开叉毛线包臀裙女针织半身裙
; F. LOSEA 皱纹菱格水桶包包女2018新款时尚链条包女复古单肩包女大包
; G. 涧蓝原创2018秋冬新款文艺范宽松半高领针织打底衫女装打底毛衣
; H. 连体裤女夏2018新款韩版显瘦高腰时尚套装洋气西装阔腿休闲短裤子
; I. 流苏耳环 耳夹无耳洞女韩国版高级感耳坠气质蝴蝶淑女长款925银针
; J. 神裤！澳洲双面华夫格子羊毛哈伦裤针织长裤简约大气纯色保暖裤
"
pog,209,28580,J,D,G,0,0,both_fail,True,10,True,,,,,,,medium,[45439],"[21631, 14150, 36466, 40101, 8724, 43933, 2828, 4984, 25472, 28580]","[21631, 14150, 36466, 40101, 8724, 43933, 2828, 4984, 25472, 28580]","The partial outfit is a winter-themed baseball cap (faux mink/fur). Option G (a knitted sweater) is a highly complementary clothing item for a winter outfit, matching the seasonal and casual style of the hat. Other options like shoes or bags are less essential for completing the core 'look' compared to a top.","1. 帽子女秋冬天狐狸毛球棒球帽韩版加厚仿水貂绒时尚百搭鸭舌帽潮
","A. 2017秋冬季杨幂同款鞋高跟马丁短靴女圆头粗跟靴子时尚弹力袜子靴
; B. 耳环韩国气质女个性简约雪花少女心耳坠精致网红耳饰超仙纯银耳钉
; C. 咸鱼共和国丨英伦chic小皮鞋女复古马丁靴圆头单鞋黑色学生学院风
; D. 简佰格chic链条小包包2018新款潮韩版百搭手提单肩斜挎森系少女包
; E. 2018秋冬新款韩版百搭高腰纯色中长款开叉毛线包臀裙女针织半身裙
; F. LOSEA 皱纹菱格水桶包包女2018新款时尚链条包女复古单肩包女大包
; G. 涧蓝原创2018秋冬新款文艺范宽松半高领针织打底衫女装打底毛衣
; H. 连体裤女夏2018新款韩版显瘦高腰时尚套装洋气西装阔腿休闲短裤子
; I. 流苏耳环 耳夹无耳洞女韩国版高级感耳坠气质蝴蝶淑女长款925银针
; J. 白色毛毛鞋女冬外穿内增高平底鞋粉色羊羔毛女鞋一脚蹬网红女鞋
"
pog,224,2303,B,B,A,1,0,success_to_fail,False,9,True,A,0,both_fail,metadata_fit|ui_lightgcn_similarity|bi_lightgcn_similarity,,metadata_fit|ui_lightgcn_similarity|bi_lightgcn_similarity,medium,"[37256, 5211]","[26934, 2303, 10470, 15120, 11744, 45152, 42966, 14427, 21761, 43005]","[26933, 2303, 10470, 15120, 11744, 45152, 42966, 14427, 21761, 43005]","The partial outfit consists of a women's T-shirt and denim shorts. Option A (a stylish women's shoulder bag) is a complementary accessory that fits the casual, trendy aesthetic of the outfit. Other options are either men's items (C, E, I), redundant clothing items (D, J), or less suitable accessories (H). Option A has a positive BI similarity score, suggesting it is a reasonable addition to the bundle.","1. 滕雨佳   修身t恤女显瘦韩范印花字母套头圆领短袖T恤女
; 2. 滕雨佳   阔腿短裤女高腰宽松水洗磨白色牛仔短裤女
","A. ins超火包包女2018新款韩版百搭chic链条单肩斜挎复古磨砂小方包
; B. 2018新款夏天迷你小包包少女透明果冻包ins镭射包单肩斜挎链条包
; C. 男鞋秋冬季高帮鞋潮牌嘻哈运动鞋韩版百搭男潮休闲网红鞋学生板鞋
; D. 韩都衣舍2019春新款女宽松修身打底衫V领内搭长袖T恤DU5951樱
; E. 2019夏季新款男鞋子韩版男士休闲运动白鞋潮流百搭板鞋英伦小白鞋
; F. 小弥家原创棉麻绣花民族风单肩手提女帆布包森系休闲原宿风复古包
; G. 烫社交女鞋金属银灰色时尚尖头细高跟鞋性感百搭水晶鞋2018新款春
; H. 加厚纯色百搭简约帽子女秋冬天韩版休闲护耳保暖针织毛线帽子男
; I. 迪尔马奇春秋新款男士工装休闲裤 纯色修身小脚裤子潮M16821
; J. 草莓跳2018春装新款韩版撞色边学院中长款宽松显瘦针织开衫女上衣
"
pog,341,38297,G,A,G,0,1,fail_to_success,False,5,True,G,1,both_success,bi_signal,bi_signal,,high,"[26743, 26119]","[46116, 11317, 33306, 10502, 9799, 18028, 38297, 16445, 37734, 25846]","[46116, 11318, 33307, 10503, 9799, 18029, 38297, 16445, 37734, 25847]","The partial outfit consists of a women's handbag and a women's hat. Option G (women's Martin boots) is the only item in the list that is clearly for women and complements the style of the existing items. Additionally, it is the only option with a positive BI co-occurrence signal.","1. 小瑞靓包菱格链条包包女2019新款软皮手提单肩小包时尚百搭斜挎包
; 2. 邪恶先生修脸日系纯色棉麻八角帽子女夏季文艺画家复古简约报童帽
","A. 时尚潮流防水手表女学生韩版简约网红手表 好看不贵百搭显手细
; B. 花栗鼠小姐 伞裙女秋2017新款韩版百搭高腰a字裙小清新半身裙短裙
; C. 男道秋季新款大口袋盖水洗束脚裤修身小脚休闲裤男潮牌百搭哈伦裤
; D. HAN.YA LIMITED新款时髦欧美设计款bling个性夸张镶钻耳环耳坠
; E. Vernonsabin维斯欧美潮牌百搭透气休闲鞋运动低帮拼色板鞋男鞋子
; F. NSS 18S/S 格纹渔夫帽  格子 街头 王源同款 男女 链条 帽子 潮流
; G. 一力米灰秋冬季中跟粗跟圆头马丁靴弹力复古小方跟百搭短筒靴子女
; H. SuaMoment 秋冬拼接加绒字母运动裤休闲宽松运动校服束脚裤情侣款
; I. 水洗拼接秋季潮流男士短款修身牛仔夹克 日系复古街头风翻领外套
; J. G－STAR RAW春夏男士涂胶图案圆领短袖休闲T恤
"
pog,377,6881,C,B,C,0,1,fail_to_success,False,7,True,C,1,both_success,embedding_similarity|ui_lightgcn_similarity|bi_lightgcn_similarity,,embedding_similarity|ui_lightgcn_similarity|bi_lightgcn_similarity,medium,[25657],"[31957, 12441, 6881, 3781, 31160, 11815, 20235, 30119, 33464, 7064]","[31957, 12441, 6881, 3781, 31161, 11815, 20236, 30120, 33464, 7064]","The partial outfit consists of 'Harajuku-style' (原宿风) student sandals. Option C is a pair of 'Harajuku-style' (原宿风) student jeans, which matches the aesthetic and style category of the sandals. Additionally, it has a high ui_lightgcn_similarity score (0.979), suggesting strong co-occurrence in user interaction data.","1. 黑色凉鞋女2018新款夏软妹平底松糕中跟原宿学生简约沙滩鞋厚底
","A. 小谷粒衬衣女2019春装新款学院风灯笼袖衬衫长袖撞色针织拼接上衣
; B. MC2018夏季新款棉麻系带开叉半身裙中长款高腰裙子气质女装A字裙
; C. 原宿风哈伦裤春装2018新款水洗宽松ins学生bf风牛仔裤长裤子女J-
; D. 原创手工自制简约复古格纹棉麻布袋大包大容量帆布包单肩包女文艺
; E. ifashion男鞋真皮高帮鞋男白色板鞋潮流夏季透气休闲鞋高邦鞋男潮
; F. 小虫不规则毛边裤脚时髦百搭超显瘦弹力牛仔裤长裤女2019新款
; G. 【专区任满2件打5折】港风休闲裤
; H. 蕾丝连衣裙女 香影2019春装新款流行白色波点裙修身网纱拼接裙子
; I. 99twins【显瘦水洗蓝】韩复古做旧修身长裤浅色金色铅笔牛仔裤女
; J. 安小落手绘水果印花t恤女短袖学生纯色棉质百搭宽松上衣2018夏款
"
pog,379,39127,I,C,C,0,0,both_fail,False,8,True,J,0,both_fail,metadata_fit,,metadata_fit,medium,"[8719, 6839]","[13334, 35153, 27939, 44, 36231, 12369, 38568, 25367, 39127, 15496]","[13334, 35153, 27939, 44, 36230, 12369, 38568, 25366, 39127, 15496]","The partial outfit consists of a summer beach hat and a casual summer dress, which constitutes a vacation or summer outing look. Option C (a small leather crossbody bag) is a versatile accessory that complements this feminine, casual summer outfit. Option J is another dress, which is redundant, and other options are either men's clothing or inappropriate footwear for this specific style.","1. 特细出游拉菲草帽子 女士夏韩版 大檐沙滩帽防紫外线遮阳帽可折叠
; 2. 九月陌墨 2019夏季新款女装中长娃娃领连衣裙 韩版宽松休闲裙子女
","A. SX善喜2019款春一字领上衣女港风女装性感名媛气质斜肩打底衫宽松
; B. A21polo衫男 夏季翻领弹力潮流青年短袖男生休闲男装上衣
; C. 夏天上新纯皮小包包女2019新款潮百搭斜挎手提包迷你真皮女包软皮
; D. [早晨跑]Converse Jack Purcell 匡威 开口笑 低帮皮质帆布鞋 T#
; E. GENANX闪电潮牌凉拖鞋男清凉夏季时尚夏季新款潮流平底拖鞋男士
; F. 2018新款雪地靴女磨砂皮羊毛一体大毛球学生雪地棉鞋女平底保暖靴
; G. 欧洲站一脚蹬白色张贝贝毛毛鞋女新款春豆豆鞋网红泰迪毛毛鞋女鞋
; H. 【南风】复古红咖色水桶包包女2019新款单肩包斜挎包网红女包大包
; I. Keds秀晶款女百搭基础小白鞋皮面厚底松糕鞋休闲板鞋WH57310
; J. SINCE THEN从那以后深V领沙滩裙度假短裙中长款连衣裙女 蓝珍珠
"
pog,480,26039,C,B,I,0,0,both_fail,False,9,True,F,0,both_fail,metadata_fit|ui_lightgcn_similarity|bi_lightgcn_similarity,,ui_lightgcn_similarity|bi_lightgcn_similarity,medium,[34279],"[18614, 35529, 26039, 4347, 34262, 1649, 16426, 537, 20448, 36156]","[18615, 35529, 26039, 4347, 34262, 1649, 16426, 537, 20448, 36156]","The partial outfit is a pair of casual white leather sneakers. Option I (2019新款网红女鞋春季单鞋女平底乐福鞋) is a category match (footwear) and shares a similar style (casual, flat, spring/2019 season) with the partial outfit, making it a logical addition to a footwear-focused bundle. Other options like pants or bags are less direct complements, and option G is redundant as it is essentially the same type of shoe.","1. 高端定制 头层牛皮 2019春季平底鞋真皮板鞋运动单鞋百搭小白鞋女
","A. 妙侣2018秋冬新款平底系带chic小短靴女圆头复古帅气机车马丁靴女
; B. MG小象垂感高腰阔腿裤女秋2018新款学生宽松韩版休闲黑色裤子潮
; C. K家竖条纹阔腿裤女长裤2019春夏新款宽松薄款松紧坠感高腰直筒裤
; D. 吊带小背心女装外穿2018春新款韩版紧身性感白色内搭针织打底上衣
; E. 夏季中帮情侣马丁靴男潮流短靴女男士英伦高帮黑色磨砂透气机车靴
; F. PROVA 春秋季 女单鞋真皮高跟粗跟浅口拼色铆钉水台及踝靴
; G. 显脚小夏款透气女鞋夏季纯皮真皮小白鞋2019春款百搭平底休闲板鞋
; H. 小潘潘韩版修身不规则皮裙高腰秋冬A字裙潮 非质量问题不退不换
; I. 2019新款网红女鞋春季单鞋女平底乐福鞋韩版百搭ins小皮鞋女复古
; J. Joseph Stacey 女士迷你半圆肩背腰包
"
